ticker,rh_scan_date,dl_drop_date,days_rh_to_dl,rh_score,rh_mxv,rh_runup,rh_scan_price,rh_max_drop,rh_hit_tp10,rh_outcome,dl_pct_change,dl_close,dl_volume,dl_market_cap,dl_gap_down_pct,dl_intraday_reversal_pct,dl_rsi_14,dl_volume_ratio,dl_sector,dl_market_cap_category,dl_post_max_recovery_5d_pct,dl_post_max_further_drop_5d_pct,dl_post_pattern_tag,dl_post_d5_pct
RDGT,2026-03-23,2026-04-02,10,54.66,90.71,11.93,3.5,28.57,False,SL_HIT,-33.33,0.02,54105800,449826.0,-33.33,0.0,32.64,0.51,Healthcare,Nano,22400.0,12500.0,Full Recovery,12500.0
UGRO,2026-03-23,2026-04-02,10,99.08,-18491.46,80.99,6.46,-2.62,False,SL_HIT,-13.56,19.0,957500,14280818.0,-10.6,3.98,59.58,0.03,Industrials,Nano,6.0,-18.5263,Dead Cat Bounce,-12.9474
UGRO,2026-03-24,2026-04-02,9,50.09,-3387.23,-11.22,7.2,2.78,False,SL_HIT,-13.56,19.0,957500,14280818.0,-10.6,3.98,59.58,0.03,Industrials,Nano,6.0,-18.5263,Dead Cat Bounce,-12.9474
UGRO,2026-03-25,2026-04-02,8,95.61,-9258.97,259.79,29.07,-44.41,True,BOTH,-13.56,19.0,957500,14280818.0,-10.6,3.98,59.58,0.03,Industrials,Nano,6.0,-18.5263,Dead Cat Bounce,-12.9474
EEIQ,2026-03-26,2026-04-02,7,91.38,-7189.82,88.52,9.03,-31.17,True,BOTH,-31.47,7.25,681200,10726223.0,-1.8,8.21,60.3,0.05,Consumer Defensive,Nano,13.5172,-43.0345,Dead Cat Bounce,-43.0345
ARTL,2026-03-27,2026-04-02,6,89.5,-11207.39,42.18,11.36,-38.38,True,TP_HIT,-10.2,7.04,435800,5182341.0,-4.72,0.57,54.12,0.04,Healthcare,Nano,3.5511,-15.483,Sideways,-15.483
SST,2026-03-27,2026-04-02,6,98.24,-740.53,154.61,3.59,-22.28,True,BOTH,-31.61,3.57,2677200,35692604.0,-16.67,3.36,56.22,0.21,Industrials,Nano,3.6415,-29.972,Sideways,-28.2913
ASTC,2026-03-30,2026-04-02,3,87.83,-5820.29,40.31,4.42,-27.6,True,BOTH,-10.56,3.98,567400,7000637.0,2.92,8.45,61.77,0.05,Technology,Nano,-0.7538,-15.3266,Continued Drop,-14.8241
EEIQ,2026-03-30,2026-04-02,3,52.36,-1489.73,-23.89,8.06,-16.87,True,BOTH,-31.47,7.25,681200,10726223.0,-1.8,8.21,60.3,0.05,Consumer Defensive,Nano,13.5172,-43.0345,Dead Cat Bounce,-43.0345
EEIQ,2026-03-30,2026-04-08,9,52.36,-1489.73,-23.89,8.06,-16.87,True,BOTH,-23.11,5.79,174169,8566183.0,-0.93,10.92,52.27,0.01,Consumer Defensive,Nano,-15.8895,-33.1606,Continued Drop,-32.9879
EEIQ,2026-03-30,2026-04-09,10,52.36,-1489.73,-23.89,8.06,-16.87,True,BOTH,-15.89,4.87,169336,7205062.0,-0.09,3.18,48.77,0.01,Consumer Defensive,Nano,-9.0349,-20.5339,Continued Drop,-12.115
ELAB,2026-03-30,2026-04-02,3,47.51,-21950.46,-11.11,3.6,-2.22,False,SL_HIT,-59.14,5.72,26639200,3097156.0,-62.64,21.7,48.19,1.02,Healthcare,Nano,-8.042,-39.6853,Continued Drop,-16.2587
ELAB,2026-03-30,2026-04-07,8,47.51,-21950.46,-11.11,3.6,-2.22,False,SL_HIT,-10.16,3.45,5315278,3998940.0,-11.43,4.55,43.87,0.18,Healthcare,Nano,52.4638,26.9565,Full Recovery,26.9565
QNTM,2026-03-30,2026-04-09,10,24.43,47.54,-15.94,4.24,-16.51,True,BOTH,-11.14,3.27,202390,19344940.0,-0.27,2.83,45.42,0.29,Healthcare,Nano,7.7982,-7.6453,Dead Cat Bounce,-3.0581
SST,2026-03-30,2026-04-02,3,27.19,-40.76,-1.08,3.15,-11.43,True,BOTH,-31.61,3.57,2677200,35692604.0,-16.67,3.36,56.22,0.21,Industrials,Nano,3.6415,-29.972,Sideways,-28.2913
SST,2026-03-30,2026-04-08,9,27.19,-40.76,-1.08,3.15,-11.43,True,BOTH,-13.39,3.04,632328,30393704.0,1.42,8.57,51.12,0.05,Industrials,Nano,-15.7895,-30.5921,Continued Drop,-30.5921
SST,2026-03-30,2026-04-09,10,27.19,-40.76,-1.08,3.15,-11.43,True,BOTH,-17.76,2.5,692752,24994822.0,0.99,4.38,46.71,0.05,Industrials,Nano,2.4,-15.6,Sideways,-9.6
UGRO,2026-03-30,2026-04-02,3,58.6,-1405.95,12.22,20.76,-11.98,True,BOTH,-13.56,19.0,957500,14280818.0,-10.6,3.98,59.58,0.03,Industrials,Nano,6.0,-18.5263,Dead Cat Bounce,-12.9474
UGRO,2026-03-30,2026-04-09,10,58.6,-1405.95,12.22,20.76,-11.98,True,BOTH,-16.64,15.48,540675,11635108.0,-2.48,2.86,53.43,0.05,Industrials,Nano,6.8475,-25.646,Dead Cat Bounce,-25.646
ARTL,2026-03-31,2026-04-02,2,37.74,-572.64,-24.99,7.58,-18.84,True,BOTH,-10.2,7.04,435800,5182341.0,-4.72,0.57,54.12,0.04,Healthcare,Nano,3.5511,-15.483,Sideways,-15.483
ASTC,2026-03-31,2026-04-02,2,67.91,-147.64,24.82,5.23,-40.15,True,BOTH,-10.56,3.98,567400,7000637.0,2.92,8.45,61.77,0.05,Technology,Nano,-0.7538,-15.3266,Continued Drop,-14.8241
ASTC,2026-03-31,2026-04-10,10,67.91,-147.64,24.82,5.23,-40.15,True,BOTH,-11.26,3.39,122179,5962854.0,-0.79,5.61,51.84,0.01,Technology,Nano,7.0796,-15.9292,Dead Cat Bounce,-15.9292
ELAB,2026-03-31,2026-04-02,2,86.97,-7070.18,52.04,5.96,-44.63,True,BOTH,-59.14,5.72,26639200,3097156.0,-62.64,21.7,48.19,1.02,Healthcare,Nano,-8.042,-39.6853,Continued Drop,-16.2587
ELAB,2026-03-31,2026-04-07,7,86.97,-7070.18,52.04,5.96,-44.63,True,BOTH,-10.16,3.45,5315278,3998940.0,-11.43,4.55,43.87,0.18,Healthcare,Nano,52.4638,26.9565,Full Recovery,26.9565
FCHL,2026-03-31,2026-04-08,8,56.37,-70.08,41.38,2.05,-16.59,True,BOTH,-19.58,1.93,238210,2187336.0,1.25,1.31,43.14,0.03,Consumer Defensive,Nano,7.772,-25.3886,Dead Cat Bounce,-25.3886
KIDZ,2026-03-31,2026-04-09,9,47.45,-7027.11,-12.43,3.17,-13.25,True,BOTH,-18.97,2.52,185905,3289731.0,-1.29,2.86,39.38,0.02,Consumer Defensive,Nano,-8.3333,-37.3016,Continued Drop,-32.9365
MASK,2026-03-31,2026-04-10,10,80.7,-10611.93,60.39,2.6,-38.46,True,TP_HIT,-12.44,1.76,231047,1988104.0,0.0,6.67,37.28,0.02,Technology,Nano,1.7045,-4.5455,Sideways,-4.5455
SST,2026-03-31,2026-04-02,2,16.15,42.98,-26.11,2.98,4.7,False,SL_HIT,-31.61,3.57,2677200,35692604.0,-16.67,3.36,56.22,0.21,Industrials,Nano,3.6415,-29.972,Sideways,-28.2913
SST,2026-03-31,2026-04-08,8,16.15,42.98,-26.11,2.98,4.7,False,SL_HIT,-13.39,3.04,632328,30393704.0,1.42,8.57,51.12,0.05,Industrials,Nano,-15.7895,-30.5921,Continued Drop,-30.5921
SST,2026-03-31,2026-04-09,9,16.15,42.98,-26.11,2.98,4.7,False,SL_HIT,-17.76,2.5,692752,24994822.0,0.99,4.38,46.71,0.05,Industrials,Nano,2.4,-15.6,Sideways,-9.6
UGRO,2026-03-31,2026-04-02,2,44.83,-399.94,5.14,22.08,-18.25,True,BOTH,-13.56,19.0,957500,14280818.0,-10.6,3.98,59.58,0.03,Industrials,Nano,6.0,-18.5263,Dead Cat Bounce,-12.9474
UGRO,2026-03-31,2026-04-09,9,44.83,-399.94,5.14,22.08,-18.25,True,BOTH,-16.64,15.48,540675,11635108.0,-2.48,2.86,53.43,0.05,Industrials,Nano,6.8475,-25.646,Dead Cat Bounce,-25.646
AGPU,2026-04-01,2026-04-10,9,99.63,-2213.51,89.73,3.51,-13.96,True,BOTH,-17.77,3.98,455938,22046282.0,-0.21,1.79,62.56,0.04,Technology,Nano,-9.2965,-14.3216,Continued Drop,-11.5578
ASTC,2026-04-01,2026-04-02,1,43.77,-129.82,-28.23,4.45,-29.66,True,BOTH,-10.56,3.98,567400,7000637.0,2.92,8.45,61.77,0.05,Technology,Nano,-0.7538,-15.3266,Continued Drop,-14.8241
ASTC,2026-04-01,2026-04-10,9,43.77,-129.82,-28.23,4.45,-29.66,True,BOTH,-11.26,3.39,122179,5962854.0,-0.79,5.61,51.84,0.01,Technology,Nano,7.0796,-15.9292,Dead Cat Bounce,-15.9292
BIAF,2026-04-01,2026-04-09,8,28.08,-116.59,-7.02,3.96,-9.34,False,SL_HIT,-15.31,3.32,963221,14935714.0,-3.57,10.3,52.89,0.25,Healthcare,Nano,0.9036,-16.8675,Continued Drop,-16.8675
CYCN,2026-04-01,2026-04-07,6,74.74,-6265.66,16.76,6.34,-55.99,True,TP_HIT,-16.14,3.48,1057066,15069493.0,-2.89,3.88,58.54,0.04,Healthcare,Nano,-7.4713,-16.954,Continued Drop,-7.4713
CYCN,2026-04-01,2026-04-08,7,74.74,-6265.66,16.76,6.34,-55.99,True,TP_HIT,-16.95,2.89,1144594,12514608.0,0.29,3.58,53.7,0.04,Healthcare,Nano,11.4187,0.0,Full Recovery,4.8443
ELAB,2026-04-01,2026-04-02,1,97.66,-2869.03,78.14,12.47,-73.54,True,TP_HIT,-59.14,5.72,26639200,3097156.0,-62.64,21.7,48.19,1.02,Healthcare,Nano,-8.042,-39.6853,Continued Drop,-16.2587
ELAB,2026-04-01,2026-04-07,6,97.66,-2869.03,78.14,12.47,-73.54,True,TP_HIT,-10.16,3.45,5315278,3998940.0,-11.43,4.55,43.87,0.18,Healthcare,Nano,52.4638,26.9565,Full Recovery,26.9565
QNTM,2026-04-01,2026-04-09,8,16.32,72.82,-14.22,4.43,-20.32,True,TP_HIT,-11.14,3.27,202390,19344940.0,-0.27,2.83,45.42,0.29,Healthcare,Nano,7.7982,-7.6453,Dead Cat Bounce,-3.0581
RENX,2026-04-01,2026-04-02,1,55.06,-3554.25,7.13,2.63,-27.38,True,BOTH,-22.61,2.02,1544100,4682459.0,-7.66,5.76,43.68,0.17,Real Estate,Nano,39.604,18.8119,Full Recovery,18.8119
SST,2026-04-01,2026-04-02,1,72.73,-58.28,63.32,5.21,-46.26,True,BOTH,-31.61,3.57,2677200,35692604.0,-16.67,3.36,56.22,0.21,Industrials,Nano,3.6415,-29.972,Sideways,-28.2913
SST,2026-04-01,2026-04-08,7,72.73,-58.28,63.32,5.21,-46.26,True,BOTH,-13.39,3.04,632328,30393704.0,1.42,8.57,51.12,0.05,Industrials,Nano,-15.7895,-30.5921,Continued Drop,-30.5921
SST,2026-04-01,2026-04-09,8,72.73,-58.28,63.32,5.21,-46.26,True,BOTH,-17.76,2.5,692752,24994822.0,0.99,4.38,46.71,0.05,Industrials,Nano,2.4,-15.6,Sideways,-9.6
UGRO,2026-04-01,2026-04-02,1,31.36,-143.09,-7.03,22.5,-19.78,True,TP_HIT,-13.56,19.0,957500,14280818.0,-10.6,3.98,59.58,0.03,Industrials,Nano,6.0,-18.5263,Dead Cat Bounce,-12.9474
UGRO,2026-04-01,2026-04-09,8,31.36,-143.09,-7.03,22.5,-19.78,True,TP_HIT,-16.64,15.48,540675,11635108.0,-2.48,2.86,53.43,0.05,Industrials,Nano,6.8475,-25.646,Dead Cat Bounce,-25.646
AGPU,2026-04-02,2026-04-10,8,54.79,-38.34,19.89,4.22,-14.93,True,BOTH,-17.77,3.98,455938,22046282.0,-0.21,1.79,62.56,0.04,Technology,Nano,-9.2965,-14.3216,Continued Drop,-11.5578
ANNA,2026-04-02,2026-04-08,6,13.66,82.06,-9.6,7.86,-24.55,True,BOTH,-19.52,6.35,2416700,258190240.0,-19.9,7.08,51.83,0.22,Energy,Micro,-4.252,-34.3307,Continued Drop,-34.3307
ANNA,2026-04-02,2026-04-10,8,13.66,82.06,-9.6,7.86,-24.55,True,BOTH,-17.93,4.99,1765852,202892784.0,-0.82,3.1,45.63,0.37,Energy,Micro,2.6052,-27.0541,Sideways,-27.0541
TURB,2026-04-02,2026-04-08,6,41.23,-221.15,-0.31,3.22,-32.92,True,BOTH,-24.92,2.29,1808043,27519250.0,-27.87,6.02,48.67,0.27,Technology,Nano,-1.31,-12.6638,Continued Drop,-12.6638
TURB,2026-04-03,2026-04-08,5,57.06,-226.96,-1.85,3.18,-33.93,True,BOTH,-24.92,2.29,1808043,27519250.0,-27.87,6.02,48.67,0.27,Technology,Nano,-1.31,-12.6638,Continued Drop,-12.6638
CLIR,2026-04-06,2026-04-07,1,66.53,88.05,39.79,6.78,-30.24,True,TP_HIT,-11.38,6.15,76812,332715008.0,-7.06,9.33,63.72,0.93,Industrials,Small,5.2033,-13.9837,Dead Cat Bounce,-12.5203
CLIR,2026-04-06,2026-04-10,4,66.53,88.05,39.79,6.78,-30.24,True,TP_HIT,-14.4,5.29,132356,286188992.0,1.62,11.84,52.25,1.36,Industrials,Micro,10.397,0.7561,Full Recovery,3.0246
FCUV,2026-04-06,2026-04-07,1,58.18,-4864.52,-25.07,5.59,-53.35,True,TP_HIT,-34.23,3.78,1004034,3869884.0,-28.05,9.05,45.2,0.19,Technology,Nano,-12.963,-29.8942,Continued Drop,-29.8942
FCUV,2026-04-06,2026-04-08,2,58.18,-4864.52,-25.07,5.59,-53.35,True,TP_HIT,-12.85,3.29,343880,3372694.0,0.93,4.44,42.57,0.06,Technology,Nano,-1.5198,-33.7386,Continued Drop,-33.7386
FCUV,2026-04-06,2026-04-09,3,58.18,-4864.52,-25.07,5.59,-53.35,True,TP_HIT,-16.11,2.76,142939,2829372.0,-3.95,1.85,39.84,0.03,Technology,Nano,17.3913,-24.2754,Dead Cat Bounce,-24.2754
FCUV,2026-04-06,2026-04-14,8,58.18,-4864.52,-25.07,5.59,-53.35,True,TP_HIT,-18.21,2.65,255075,5677500.0,-1.85,4.74,40.11,0.05,Technology,Nano,-17.7358,-28.6792,Continued Drop,-23.0189
FCUV,2026-04-06,2026-04-15,9,58.18,-4864.52,-25.07,5.59,-53.35,True,TP_HIT,-17.74,2.18,280706,4670547.0,3.4,10.38,37.61,0.05,Technology,Nano,-4.1284,-13.3028,Sideways,-4.1284
IOTR,2026-04-06,2026-04-09,3,43.25,-219.51,-15.07,2.31,0.0,False,SL_HIT,-13.18,2.7,32723,6925503.0,-3.38,5.47,56.76,0.04,Communication Services,Nano,4.8148,-2.2222,Full Recovery,0.3704
MLEC,2026-04-06,2026-04-08,2,85.92,-1283.05,29.28,11.17,-37.33,True,TP_HIT,-17.17,9.02,86093,6549584.0,-2.11,2.15,51.14,0.08,Healthcare,Nano,-10.0887,-21.1752,Continued Drop,-15.6319
MLEC,2026-04-06,2026-04-09,3,85.92,-1283.05,29.28,11.17,-37.33,True,TP_HIT,-10.09,8.11,71527,5888816.0,-1.22,5.19,47.73,0.06,Healthcare,Nano,-2.0962,-12.3305,Sideways,-3.2059
MLEC,2026-04-06,2026-04-10,4,85.92,-1283.05,29.28,11.17,-37.33,True,TP_HIT,-12.33,7.11,31596,5162699.0,-3.51,0.0,44.23,0.03,Healthcare,Nano,11.6737,2.2504,Full Recovery,2.2504
MNTS,2026-04-06,2026-04-02,-4,27.41,-87.01,6.06,3.5,-11.14,True,BOTH,-12.06,3.28,1783500,5476166.0,-3.49,3.8,30.42,1.94,Industrials,Nano,10.9756,-1.5244,Full Recovery,6.0976
PRFX,2026-04-06,2026-04-07,1,49.86,-3234.37,5.77,2.54,-16.54,True,BOTH,-11.07,2.25,312883,1900239.0,-7.11,3.69,44.0,0.11,Healthcare,Nano,22.2222,4.0,Full Recovery,22.2222
SKYQ,2026-04-06,2026-04-14,8,75.32,-434.38,25.96,5.92,-15.54,True,BOTH,-20.83,9.2,3733690,34568540.0,-13.34,8.24,65.92,0.09,Energy,Nano,20.5435,-12.9348,Dead Cat Bounce,-2.5
SKYQ,2026-04-06,2026-04-16,10,75.32,-434.38,25.96,5.92,-15.54,True,BOTH,-11.45,9.82,1298519,36898156.0,-6.04,1.97,64.26,0.03,Energy,Nano,-7.0265,-28.1059,Continued Drop,-28.1059
SMX,2026-04-06,2026-04-07,1,76.91,-641.16,56.56,12.65,-56.05,True,TP_HIT,-37.31,8.15,2964917,24768370.0,-14.46,1.23,34.98,1.18,Industrials,Nano,-21.8405,-38.1595,Continued Drop,-38.1595
SMX,2026-04-06,2026-04-08,2,76.91,-641.16,56.56,12.65,-56.05,True,TP_HIT,-23.44,6.24,2878557,18963758.0,-3.68,2.63,33.63,1.05,Industrials,Nano,2.0833,-19.2308,Sideways,-15.2244
SMX,2026-04-06,2026-04-14,8,76.91,-641.16,56.56,12.65,-56.05,True,TP_HIT,-16.56,5.04,1768428,15316882.0,-4.14,0.8,32.66,0.52,Industrials,Nano,9.3254,-13.6905,Dead Cat Bounce,-13.6905
ADVB,2026-04-07,2026-04-16,9,53.86,-971.29,-11.48,6.32,-4.75,False,SL_HIT,-23.06,4.77,32745,6508836.0,-1.94,2.58,44.25,0.02,Healthcare,Nano,35.6394,0.6289,Full Recovery,35.6394
AGPU,2026-04-07,2026-04-10,3,46.75,-114.4,9.68,4.76,-32.77,True,BOTH,-17.77,3.98,455938,22046282.0,-0.21,1.79,62.56,0.04,Technology,Nano,-9.2965,-14.3216,Continued Drop,-11.5578
AGPU,2026-04-07,2026-04-13,6,46.75,-114.4,9.68,4.76,-32.77,True,BOTH,-14.32,3.41,456568,18888900.0,-1.26,6.56,55.34,0.04,Technology,Nano,35.4839,1.7595,Full Recovery,35.4839
AIXI,2026-04-07,2026-04-08,1,95.91,-4336.03,108.11,2.31,-58.7,True,TP_HIT,-26.67,1.43,144963501,19089704.0,-14.87,32.41,73.41,0.57,Technology,Nano,-9.0909,-30.6993,Continued Drop,-20.2797
AIXI,2026-04-07,2026-04-09,2,95.91,-4336.03,108.11,2.31,-58.7,True,TP_HIT,-30.68,0.99,53886384,13233304.0,-27.97,3.88,61.06,0.2,Technology,Nano,31.3131,-4.0404,Dead Cat Bounce,-4.0404
AIXI,2026-04-07,2026-04-14,7,95.91,-4336.03,108.11,2.31,-58.7,True,TP_HIT,-16.92,1.08,26010880,14417400.0,-17.69,8.0,59.95,0.09,Technology,Nano,5.5556,-23.1481,Dead Cat Bounce,-23.1481
AIXI,2026-04-07,2026-04-16,9,95.91,-4336.03,108.11,2.31,-58.7,True,TP_HIT,-16.65,0.95,8683793,12684642.0,-15.79,0.01,56.24,0.03,Technology,Nano,13.6842,-12.6316,Full Recovery,13.6842
KPRX,2026-04-07,2026-04-09,2,50.65,-557.61,-7.3,2.16,1.85,False,SL_HIT,-13.29,2.48,360240,9797558.0,-6.64,1.22,61.92,0.13,Healthcare,Nano,2.4194,-1.6129,Full Recovery,0.4032
LNZA,2026-04-07,2026-04-16,9,61.44,98.4,52.16,27.8,-9.82,False,SL_HIT,-13.33,35.9,64132,362200960.0,0.0,2.97,69.07,1.24,Industrials,Small,-30.3621,-37.1309,Continued Drop,-30.3621
LNZA,2026-04-07,2026-04-17,10,61.44,98.4,52.16,27.8,-9.82,False,SL_HIT,-37.13,22.57,160200,227712400.0,0.47,4.98,49.1,2.85,Industrials,Micro,10.7665,5.4497,Full Recovery,10.6779
MIGI,2026-04-07,2026-04-02,-5,46.68,-474.45,-7.17,2.85,-5.26,False,SL_HIT,-11.4,1.71,260800,1950401.0,-1.55,0.59,20.38,3.75,Financial Services,Nano,159.0643,51.462,Full Recovery,149.1228
SKYQ,2026-04-07,2026-04-14,7,53.74,-1793.22,2.98,6.56,-23.78,True,BOTH,-20.83,9.2,3733690,34568540.0,-13.34,8.24,65.92,0.09,Energy,Nano,20.5435,-12.9348,Dead Cat Bounce,-2.5
SKYQ,2026-04-07,2026-04-16,9,53.74,-1793.22,2.98,6.56,-23.78,True,BOTH,-11.45,9.82,1298519,36898156.0,-6.04,1.97,64.26,0.03,Energy,Nano,-7.0265,-28.1059,Continued Drop,-28.1059
SKYQ,2026-04-07,2026-04-17,10,53.74,-1793.22,2.98,6.56,-23.78,True,BOTH,-18.43,8.01,1221700,30097176.0,-11.91,6.52,56.61,0.03,Energy,Nano,13.9825,-25.0936,Dead Cat Bounce,-25.0936
BBGI,2026-04-08,2026-04-13,5,67.61,-2739.6,9.4,5.7,-10.88,True,BOTH,-11.56,10.4,1566964,18761536.0,5.95,10.64,77.94,0.22,Communication Services,Nano,106.8269,31.9231,Full Recovery,82.7885
CLIK,2026-04-08,2026-04-10,2,69.42,-122.59,46.83,2.1,8.1,False,SL_HIT,-20.58,2.74,538679,8940710.0,-10.14,20.7,52.64,0.14,Consumer Cyclical,Nano,7.2993,-3.6496,Dead Cat Bounce,-3.6496
MASK,2026-04-08,2026-04-10,2,41.68,-1246.68,4.41,2.13,-23.94,True,TP_HIT,-12.44,1.76,231047,1988104.0,0.0,6.67,37.28,0.02,Technology,Nano,1.7045,-4.5455,Sideways,-4.5455
